7454.42;6845.84;2597.17;1.3077;1.2142;164.42;
7454.42;6845.84;2597.17;1.3077;1.2141;164.42;
7454.60;6845.84;2597.17;1.3077;1.2141;164.42;
7454.60;6845.84;2596.86;1.3077;1.2142;164.42;
7454.58;6845.84;2596.86;1.3077;1.2141;164.42;
7454.58;6845.91;2596.86;1.3076;1.2141;164.42;
7454.36;6845.91;2596.86;1.3076;1.2141;164.42;
7454.67;6845.91;2596.86;1.3076;1.2141;164.42;
7454.67;6845.91;2596.86;1.3076;1.2141;164.42;
7454.58;6845.91;2596.86;1.3076;1.214;164.42;
7454.58;6845.91;2596.86;1.3076;1.214;164.42;
7454.58;6845.91;2596.86;1.3076;1.214;164.42;
7454.29;6845.91;2596.86;1.3076;1.2139;164.42;
7454.24;6845.91;2596.86;1.3076;1.214;164.42;
7454.24;6845.91;2596.86;1.3076;1.2141;164.42;
7454.30;6844.75;2596.86;1.3076;1.2141;164.42;
7454.36;6844.75;2596.56;1.3076;1.2141;164.42;
7454.14;6844.75;2596.56;1.3076;1.2141;164.42;
7454.14;6844.75;2596.56;1.3076;1.2142;164.42;
7454.08;6843.78;2596.56;1.3076;1.2141;164.42;
7454.14;6843.78;2596.56;1.3076;1.2141;164.42;
7454.19;6843.78;2596.56;1.3076;1.2143;164.42;
7454.04;6843.71;2596.56;1.3076;1.2143;164.42;
7454.04;6843.71;2596.56;1.3076;1.2143;164.42;
7454.01;6843.03;2596.56;1.3076;1.2141;164.42;
7454.05;6841.74;2596.28;1.3076;1.2142;164.42;
7453.84;6841.14;2596.28;1.3076;1.2143;164.42;
7453.58;6840.42;2596.28;1.3078;1.2145;164.42;
7453.58;6840.42;2596.28;1.3078;1.2143;164.42;
7453.58;6840.42;2596.28;1.3078;1.2143;164.42;
7453.58;6840.42;2596.28;1.3078;1.2146;164.42;
7453.43;6840.42;2596.28;1.3078;1.2146;164.42;
7453.61;6839.38;2596.28;1.3078;1.2146;164.42;
7453.65;6839.38;2596.28;1.3078;1.2146;164.42;
7453.73;6839.38;2596.28;1.3078;1.2146;164.42;
7453.73;6839.38;2596.28;1.3078;1.2144;164.42;
7453.73;6839.96;2596.28;1.3078;1.2145;164.42;
7453.73;6839.91;2596.28;1.3078;1.2145;164.42;
7453.88;6839.91;2596.29;1.3078;1.2145;164.42;
7453.77;6839.91;2596.29;1.3078;1.2145;164.42;
7453.63;6839.91;2596.29;1.3078;1.2145;164.42;
7453.63;6839.91;2596.29;1.3078;1.2145;164.42;
7453.63;6839.91;2596.29;1.3078;1.2145;164.42;
7453.52;6839.91;2596.29;1.3078;1.2145;164.42;
7453.61;6839.85;2596.29;1.3078;1.2145;164.42;
7453.63;6839.85;2596.29;1.3078;1.2145;164.42;
7453.58;6839.85;2596.29;1.3078;1.2145;164.42;
7453.58;6839.85;2596.29;1.3078;1.2145;164.42;
7453.58;6839.85;2596.19;1.3078;1.2145;164.42;
7453.58;6839.88;2596.19;1.3078;1.2145;164.42;
7453.58;6839.86;2596.19;1.3078;1.2145;164.42;
